Type,Variable,Comment
X,soil nitrogen levels,"<a href=""https://data.neonscience.org/data-products/DP1.10080.001"" target=""_blank"">DP1.10080.001</a>; <a href=""https://www.neonscience.org/data-collection/soil-microbes"" target=""_blank"">Read More: Soil Microbes</a>"
X,soil chemical properties,"<a href=""https://data.neonscience.org/data-products/DP1.10086.001"" target=""_blank"">DP1.10086.001</a> (Carbon and nitrogen concentrations); <a href=""https://www.neonscience.org/data-collection/soil-microbes"" target=""_blank"">Read More: Soil Microbes</a>"
X,downed wood (logs) levels,"<a href=""https://data.neonscience.org/data-products/DP1.10014.001"" target=""_blank"">DP1.10014.001</a> (logs); <a href=""https://data.neonscience.org/data-products/DP1.10010.001"" target=""_blank"">DP1.10010.001</a> (logs); <a href=""https://www.neonscience.org/data-collection/terrestrial-plants"" target=""_blank"">Read More: Terrestrial Plants</a>"
X,litterfall,"<a href=""https://data.neonscience.org/data-products/DP1.10033.001"" target=""_blank"">DP1.10033.001</a>; <a href=""https://www.neonscience.org/data-collection/terrestrial-plants"" target=""_blank"">Read More: Terrestrial Plants</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
X,aquatic sediment properties,"<a href=""https://data.neonscience.org/data-products/DP1.20194.001"" target=""_blank"">DP1.20194.001</a> (nutrients; carbon; heavy metals; sediment size and texture); <a href=""https://www.neonscience.org/data-collection/sediments"" target=""_blank"">Read More: Sediments</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
X,stream morphology,"<a href=""https://data.neonscience.org/data-products/DP4.00131.001"" target=""_blank"">DP4.00131.001</a> (map); <a href=""https://data.neonscience.org/data-products/DP1.20254.001"" target=""_blank"">DP1.20254.001</a> (depth); <a href=""https://www.neonscience.org/data-collection/sediments"" target=""_blank"">Read More: Sediments</a>"
X,bathymetry morphology,"<a href=""https://data.neonscience.org/data-products/DP4.00132.001"" target=""_blank"">DP4.00132.001</a> (map); <a href=""https://www.neonscience.org/data-collection/sediments"" target=""_blank"">Read More: Sediments</a>"
X,non woody plant biomass,"<a href=""https://data.neonscience.org/data-products/DP1.10023.001"" target=""_blank"">DP1.10023.001</a>; <a href=""https://www.neonscience.org/data-collection/terrestrial-plants"" target=""_blank"">Read More: Terrestrial Plants</a>"
X,plant cover,"<a href=""https://data.neonscience.org/data-products/DP1.10058.001"" target=""_blank"">DP1.10058.001</a>; <a href=""https://www.neonscience.org/data-collection/terrestrial-plants"" target=""_blank"">Read More: Terrestrial Plants</a>"
X,below ground biomass (roots),"<a href=""https://data.neonscience.org/data-products/DP1.10066.001"" target=""_blank"">DP1.10066.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.10067.001"" target=""_blank"">DP1.10067.001</a>; <a href=""https://www.neonscience.org/data-collection/terrestrial-plants"" target=""_blank"">Read More: Terrestrial Plants</a>"
X,the interaction between [X] and [X],
Y,[A] communities,
Y,[A] diversity/species richness,
Y,[A] community change (local colonization/extinction),
Y,[A] genetic diversity,
Y,[A] populations,
Y,[A] population change (growth/extinction),
Y,[A] range change rate,
Y,[A] ranges,
Y,[A] occupancy/detection,"<a href=""https://doi.org/10.1111/2041-210X.14285"" target=""_blank"">Occupancy Modelling</a>"
Y,[A] fecundity,
Y,[A] population density,
Y,[A] species composition,
Y,plant phenology,"<a href=""https://data.neonscience.org/data-products/DP1.10055.001"" target=""_blank"">DP1.10055.001</a>; <a href=""https://www.neonscience.org/data-collection/terrestrial-plants"" target=""_blank"">Read More: Terrestrial Plants</a>"
Y,[A] abundance,
Y,[B] [X],
Y,[X],
Y,[A] traits,size; color; shape
Y,[A] species identification,
Y,[Y] [C],
A,bird,"<a href=""https://data.neonscience.org/data-products/DP1.10003.001"" target=""_blank"">DP1.10003.001</a>; <a href=""https://www.neonscience.org/data-collection/birds"" target=""_blank"">Read More: Birds</a>"
A,small mammal,"<a href=""https://data.neonscience.org/data-products/DP1.10072.001"" target=""_blank"">DP1.10072.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.10076.001"" target=""_blank"">DP1.10076.001</a> (COI); <a href=""https://www.neonscience.org/data-collection/small-mammals"" target=""_blank"">Read More: Small Mammals</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,mosquito,"<a href=""https://data.neonscience.org/data-products/DP1.10043.001"" target=""_blank"">DP1.10043.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.10038.001"" target=""_blank"">DP1.10038.001</a> (COI); <a href=""https://www.neonscience.org/data-collection/mosquitoes"" target=""_blank"">Read More: Mosquitoes</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,beetle,"<a href=""https://data.neonscience.org/data-products/DP1.10022.001"" target=""_blank"">DP1.10022.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.10020.001"" target=""_blank"">DP1.10020.001</a> (COI); <a href=""https://www.neonscience.org/data-collection/ground-beetles"" target=""_blank"">Read More: Ground Beetles</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,fish,"<a href=""https://data.neonscience.org/data-products/DP1.20107.001"" target=""_blank"">DP1.20107.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.20105.001"" target=""_blank"">DP1.20105.001</a>; <a href=""https://www.neonscience.org/data-collection/fish"" target=""_blank"">Read More: Fish</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,tick,"<a href=""https://data.neonscience.org/data-products/DP1.10093.001"" target=""_blank"">DP1.10093.001</a>; <a href=""https://www.neonscience.org/data-collection/ticks"" target=""_blank"">Read More: Ticks</a>"
A,terrestrial plant,"<a href=""https://data.neonscience.org/data-products/DP1.10014.001"" target=""_blank"">DP1.10014.001</a> (logs); <a href=""https://data.neonscience.org/data-products/DP1.10010.001"" target=""_blank"">DP1.10010.001</a> (logs); <a href=""https://data.neonscience.org/data-products/DP1.10023.001"" target=""_blank"">DP1.10023.001</a> (non woody plants); <a href=""https://data.neonscience.org/data-products/DP1.10033.001"" target=""_blank"">DP1.10033.001</a> (litterfall); <a href=""https://data.neonscience.org/data-products/DP1.10045.001"" target=""_blank"">DP1.10045.001</a> (cactus; fern; palms); <a href=""https://data.neonscience.org/data-products/DP1.10058.001"" target=""_blank"">DP1.10058.001</a> (plant cover); <a href=""https://data.neonscience.org/data-products/DP1.10066.001"" target=""_blank"">DP1.10066.001</a> (root biomass and chemistry); <a href=""https://data.neonscience.org/data-products/DP1.10067.001"" target=""_blank"">DP1.10067.001</a> (root biomass and chemistry); <a href=""https://data.neonscience.org/data-products/DP1.10096.001"" target=""_blank"">DP1.10096.001</a> (woody plants); <a href=""https://data.neonscience.org/data-products/DP1.20275.001"" target=""_blank"">DP1.20275.001</a> (riverbank assessment); <a href=""https://data.neonscience.org/data-products/DP1.20191.001"" target=""_blank"">DP1.20191.001</a> (riverbank); <a href=""https://data.neonscience.org/data-products/DP1.10026.001"" target=""_blank"">DP1.10026.001</a> (leaf composition); <a href=""https://www.neonscience.org/data-collection/terrestrial-plants"" target=""_blank"">Read More: Terrestrial Plants</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
A,native species,
A,invasive species,
A,pathogen,"<a href=""https://data.neonscience.org/data-products/DP1.10064.001"" target=""_blank"">DP1.10064.001</a> (rodent hantavirus); <a href=""https://data.neonscience.org/data-products/DP1.10064.002"" target=""_blank"">DP1.10064.002</a> (rodent tick-borne); <a href=""https://data.neonscience.org/data-products/DP1.10041.001"" target=""_blank"">DP1.10041.001</a> (mosquitoes); <a href=""https://data.neonscience.org/data-products/DP1.10092.001"" target=""_blank"">DP1.10092.001</a> (ticks); <a href=""https://www.neonscience.org/data-collection/pathogens"" target=""_blank"">Read More: Pathogens</a>"
A,aquatic algae/bacteria/plankton,"<a href=""https://data.neonscience.org/data-products/DP1.20166.001"" target=""_blank"">DP1.20166.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.20163.001"" target=""_blank"">DP1.20163.001</a> (chemical properties); <a href=""https://www.neonscience.org/data-collection/algae-aquatic-plants"" target=""_blank"">Read More: Algae Aquatic Plants</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
A,aquatic plant,"<a href=""https://data.neonscience.org/data-products/DP1.20072.001"" target=""_blank"">DP1.20072.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.20066.001"" target=""_blank"">DP1.20066.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.20063.001"" target=""_blank"">DP1.20063.001</a> (chemical properties); <a href=""https://www.neonscience.org/data-collection/algae-aquatic-plants"" target=""_blank"">Read More: Algae Aquatic Plants</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
A,soil microbe,"<a href=""https://data.neonscience.org/data-products/DP1.10104.001"" target=""_blank"">DP1.10104.001</a> (biomass); <a href=""https://data.neonscience.org/data-products/DP1.10108.001"" target=""_blank"">DP1.10108.001</a> (COI); <a href=""https://data.neonscience.org/data-products/DP1.10081.001"" target=""_blank"">DP1.10081.001</a> (community composition); <a href=""https://data.neonscience.org/data-products/DP1.10107.001"" target=""_blank"">DP1.10107.001</a> (metagenome); <a href=""https://www.neonscience.org/data-collection/soil-microbes"" target=""_blank"">Read More: Soil Microbes</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,surface water microbe,"<a href=""https://data.neonscience.org/data-products/DP1.20138.001"" target=""_blank"">DP1.20138.001</a> (cell count); <a href=""https://data.neonscience.org/data-products/DP1.20282.001"" target=""_blank"">DP1.20282.001</a> (marker gene sequences); <a href=""https://data.neonscience.org/data-products/DP1.20281.001"" target=""_blank"">DP1.20281.001</a> (metagenome); <a href=""https://data.neonscience.org/data-products/DP1.20278.001"" target=""_blank"">DP1.20278.001</a> (group abundances); <a href=""https://data.neonscience.org/data-products/DP1.20141.001"" target=""_blank"">DP1.20141.001</a> (community composition); <a href=""https://www.neonscience.org/data-collection/aquatic-microbes"" target=""_blank"">Read More: Aquatic Microbes</a>; <a href=""https://www.neonscience.org/data-collection/surface-water"" target=""_blank"">Read More: Surface Water</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,benthic microbes,"<a href=""https://data.neonscience.org/data-products/DP1.20086.001"" target=""_blank"">DP1.20086.001</a> (community composition); <a href=""https://data.neonscience.org/data-products/DP1.20277.001"" target=""_blank"">DP1.20277.001</a> (abundance); <a href=""https://data.neonscience.org/data-products/DP1.20280.001"" target=""_blank"">DP1.20280.001</a> (gene sequences); <a href=""https://data.neonscience.org/data-products/DP1.20279.001"" target=""_blank"">DP1.20279.001</a> (metagenome); <a href=""https://www.neonscience.org/data-collection/aquatic-microbes"" target=""_blank"">Read More: Aquatic Microbes</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,benthic macrointertebrate,"<a href=""https://data.neonscience.org/data-products/DP1.20120.001"" target=""_blank"">DP1.20120.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.20126.001"" target=""_blank"">DP1.20126.001</a> (metabarcoding); <a href=""https://www.neonscience.org/data-collection/macroinvertebrates-zooplankton"" target=""_blank"">Read More: Macroinvertebrates Zooplankton</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,zooplankton,"<a href=""https://data.neonscience.org/data-products/DP1.20219.001"" target=""_blank"">DP1.20219.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.20221.001"" target=""_blank"">DP1.20221.001</a> (metabarcoding); <a href=""https://www.neonscience.org/data-collection/macroinvertebrates-zooplankton"" target=""_blank"">Read More: Macroinvertebrates Zooplankton</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
B,changes in ,
C,between NEON sites,
C,between NEON domains,
C,over time,
C,within NEON sites,
C,within NEON domains,
